Id,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
881,ADULT,2,0,35 to 44 years,Park,October,2015,email,TRUE,2012,FALSE,8
882,ADULT,231,271,45 to 54 years,Noe Valley/Sally Brunn,June,2016,email,TRUE,2009,FALSE,8
883,ADULT,22,20,25 to 34 years,Anza,July,2016,email,TRUE,2014,FALSE,1
884,ADULT,0,0,45 to 54 years,Main Library,October,2013,email,TRUE,2012,FALSE,5
885,ADULT,357,16,60 to 64 years,Park,February,2016,phone,FALSE,2006,FALSE,4
886,ADULT,40,19,35 to 44 years,Bayview/Linda Brooks-Burton,November,2015,phone,FALSE,2008,FALSE,10
887,ADULT,7,1,35 to 44 years,Main Library,January,2007,email,TRUE,2003,TRUE,
888,ADULT,227,127,55 to 59 years,West Portal,June,2016,email,TRUE,2003,FALSE,4
889,ADULT,486,272,35 to 44 years,Ortega,March,2016,email,TRUE,2003,FALSE,4
890,ADULT,2,0,35 to 44 years,Main Library,January,2013,phone,FALSE,2012,FALSE,5
891,ADULT,3,4,35 to 44 years,Main Library,December,2013,email,TRUE,2013,FALSE,9
892,ADULT,26,10,25 to 34 years,Main Library,August,2013,email,TRUE,2010,FALSE,9
893,ADULT,72,3,20 to 24 years,Bayview/Linda Brooks-Burton,November,2014,email,TRUE,2003,FALSE,10
894,ADULT,81,1,35 to 44 years,Main Library,February,2016,email,TRUE,2012,TRUE,
895,ADULT,80,20,60 to 64 years,Ingleside,November,2014,phone,TRUE,2006,TRUE,
896,ADULT,1372,439,45 to 54 years,Glen Park,July,2016,email,TRUE,2003,FALSE,11
897,ADULT,459,148,35 to 44 years,Richmond,February,2016,email,TRUE,2011,FALSE,
898,ADULT,357,314,55 to 59 years,Main Library,June,2014,email,TRUE,2010,FALSE,8
899,ADULT,3,0,35 to 44 years,Merced,July,2015,email,TRUE,2012,TRUE,
900,ADULT,47,9,55 to 59 years,Mission,July,2015,phone,FALSE,2005,FALSE,11
901,ADULT,7,0,45 to 54 years,Ortega,May,2015,email,TRUE,2014,FALSE,
902,ADULT,102,150,25 to 34 years,Noe Valley/Sally Brunn,January,2016,email,TRUE,2010,FALSE,
903,WELCOME,3,8,25 to 34 years,Main Library,July,2015,email,TRUE,2014,TRUE,
904,ADULT,7,5,25 to 34 years,Mission,July,2016,phone,TRUE,2016,TRUE,
905,ADULT,142,50,45 to 54 years,Merced,January,2015,print,TRUE,2006,FALSE,7
